,track_uri,popularity,danceability,energy,loudness,valence,speechiness,instrumentalness,tempo,album,trackName
0,1nM9BUwYIkDbLABWUHjNZH,28,0.49,0.913,-4.004,0.24,0.0468,4.95e-05,112.137,ATTENTION: MILEY LIVE,Like a Prayer - Live
6,4dFKEyGrwmIimMqwYleFOR,64,0.88,0.777,-4.465,0.88,0.256,0.0,132.982,Super Freaky Girl,"Super Freaky Girl (with JT & BIA feat. Katie Got Bandz, Akbar V & Maliibu Mitch) - Queen Mix"
13,65pVi11JqwSZqUuYAqLP36,56,0.718,0.89,-3.798,0.741,0.0553,0.0,111.967,"HELLO Chapter 1: Hello, Stranger",Movie Star
21,45eY7Qi2PDUs8WJEhjGWdN,72,0.808,0.661,-6.237,0.804,0.0395,0.0,107.992,Ramenez la coupe à la maison,Ramenez la coupe à la maison
31,0j55p8YRAPG8yajtNyjt6A,68,0.69,0.621,-3.583,0.497,0.06,2.81e-05,66.858,Hold You,Hold You - Hold Yuh
39,4fsQ0K37TOXa3hEQfjEic1,87,0.882,0.797,-3.299,0.824,0.0819,0.0,105.025,ANTIFRAGILE,ANTIFRAGILE
40,05ib88vsMeLfwlAfrZyz99,73,0.626,0.623,-5.718,0.123,0.0653,0.0,140.209,MAXIDENT,"TASTE (Lee Know, Hyunjin, Felix)"
42,3V8UKqhEK5zBkBb6d6ub8i,77,0.903,0.675,-3.445,0.442,0.214,1.28e-05,96.507,Te Boté (Remix),Te Boté - Remix
44,1IHWl5LamUGEuP4ozKQSXZ,90,0.65,0.715,-5.198,0.187,0.253,0.000291,106.672,Un Verano Sin Ti,Tití Me Preguntó
53,3Hb9kUdm4yf839Fle4RIdT,79,0.828,0.599,-1.624,0.478,0.149,0.0,86.533,Parado no Bailão,Parado no Bailão
57,30cSNer6TV8x2utjULVeQ5,78,0.677,0.671,-4.905,0.527,0.0361,5.07e-05,137.046,A Girl Like Me,SOS
64,69xohKu8C1fsflYAiSNbwM,84,0.724,0.818,-3.747,0.696,0.168,0.0,77.004,Proof,Run BTS
67,2UP7KnRSvc4taXbjOoSX0f,64,0.634,0.9,-2.614,0.623,0.0583,0.0,152.968,TREASURE EP.2: Zero To One,Say My Name
72,3QwiidVHfeE9y5jl4n2MTC,73,0.709,0.809,-3.198,0.788,0.0541,0.0,111.01,SEVENTEEN 4th Album Repackage 'SECTOR 17',_WORLD
77,7lcI4X8RZxK4zIknJcwpBq,65,0.893,0.699,-8.059,0.747,0.0517,3.02e-06,139.972,Bussin,Bussin
79,6iaVgWHDlYxjjvj3PuKSQX,57,0.607,0.95,-4.134,0.458,0.249,1.86e-06,145.101,TREASURE EP.FIN: All To Action,WIN
84,0ARKW62l9uWIDYMZTUmJHF,78,0.82,0.686,-5.102,0.668,0.038,0.0,110.058,BORN PINK,Shut Down
86,7uJH0YdSZL6psjxI6Xy08b,76,0.372,0.478,-9.835,0.254,0.0503,0.0,101.102,Beauty Behind The Madness,Acquainted
91,7t2bFihaDvhIrd2gn2CWJO,81,0.805,0.33,-8.712,0.211,0.1,0.0,121.97,"Or Nah (feat. The Weeknd, Wiz Khalifa & DJ Mustard) [Remix]","Or Nah (feat. The Weeknd, Wiz Khalifa & DJ Mustard) - Remix"
95,6PRy17C5LiiN7VCLS6IA98,72,0.658,0.9,-3.479,0.526,0.264,0.0,156.096,MANIFESTO : DAY 1,Future Perfect (Pass the MIC)
98,0a4MMyCrzT0En247IhqZbD,88,0.593,0.935,-3.43,0.783,0.225,0.0,99.976,NewJeans 1st EP 'New Jeans',Hype Boy
99,63mL1DdcSFfxVJ9XGnSRQz,67,0.778,0.8,-3.529,0.585,0.227,0.0,137.997,BETWEEN 1&2,Basics
102,5eJpwQyirY5EEdNadHKRAM,67,0.683,0.799,-5.923,0.752,0.3,0.0,145.128,Meet The Woo 2,Mannequin (feat. Lil Tjay)
104,1lUNlmwyhsJy6kXmmrO11t,65,0.509,0.83,-4.446,0.83,0.0742,0.00263,174.009,As It Was - Spotify Singles,As It Was - Spotify Singles
106,1IZGMPe57hATuLJgmMR4eP,58,0.669,0.687,-5.782,0.335,0.12,0.0,91.969,KHALED KHALED,"BODY IN MOTION (feat. Bryson Tiller, Lil Baby & Roddy Ricch)"
108,3dPtXHP0oXQ4HCWHsOA9js,75,0.67,0.874,-5.221,0.789,0.0305,1.72e-05,130.041,夜に駆ける,夜に駆ける
113,4XcxgZSriCYamtIA7BgT7V,71,0.766,0.664,-6.932,0.509,0.177,0.0,109.946,BTBT,BTBT
116,5AyL2kgLtTWEu3qO3B9SqK,75,0.435,0.837,-8.126,0.778,0.449,0.0,124.913,Free Wired,Like A G6
121,7xNCacksfUkYXsXuSW4vNF,74,0.602,0.642,-5.404,0.54,0.211,5.33e-06,175.978,PS5 (with TOMORROW X TOGETHER & Alan Walker),PS5 (with TOMORROW X TOGETHER & Alan Walker)
123,6tsOcBnaKgzK22yEiqRh8P,64,0.892,0.507,-8.282,0.695,0.378,3.14e-05,143.96,MONOPOLY,MONOPOLY (with Victoria Monét)
124,40iJIUlhi6renaREYGeIDS,83,0.666,0.465,-8.545,0.292,0.26,0.0,167.937,Certified Lover Boy,Fair Trade (with Travis Scott)
125,4DByEumlGTZKSzuVEZ35eo,71,0.857,0.558,-7.888,0.453,0.134,4.8e-05,123.973,RENAISSANCE,PURE/HONEY
127,5NcLyVjUgG0yfwHgr5t81w,80,0.749,0.781,-3.265,0.606,0.0578,2.12e-06,125.09,MOONLIGHT SUNRISE,MOONLIGHT SUNRISE
130,6bnF93Rx87YqUBLSgjiMU8,86,0.537,0.746,-5.507,0.252,0.15,1.01e-06,170.062,After Hours,Heartless
135,6AomCkEOQUODCYzQwH4SWC,63,0.705,0.733,-4.942,0.681,0.102,0.154,135.993,Floor Seats,Floor Seats
136,7xVLFuuYdAvcTfcP3IG3dS,70,0.841,0.733,-5.077,0.284,0.142,0.0,130.009,Trap Lord,"Work REMIX (feat. A$AP Rocky, French Montana, Trinidad James & ScHoolboy Q)"
137,2qQpFbqqkLOGySgNK8wBXt,76,0.697,0.874,-2.15,0.775,0.0449,0.0,132.018,FANCY YOU,FANCY
140,60zxdAqWtdDu0vYsbXViA7,0,0.699,0.866,-2.138,0.795,0.0446,0.0,132.023,FANCY YOU,FANCY
143,0IEVKWduAaMcZepZQVr80T,69,0.723,0.903,-1.262,0.443,0.033,0.000377,132.006,Twicetagram,Likey
148,7LczcBaamU9pTkV4Cl9NyX,63,0.916,0.824,-4.444,0.87,0.422,0.00108,139.926,Blick Blick,Blick Blick (with Nicki Minaj)
149,0f0SbtoKGe41cX5LzlnX6X,81,0.9,0.725,-6.213,0.791,0.135,0.00101,100.015,The Name Chapter: TEMPTATION,Tinnitus (Wanna be a rock)
151,4lwavw59UjXUPJZtKNdFYp,68,0.626,0.799,-6.612,0.369,0.046,0.00155,98.992,The Fame Monster,Alejandro
153,0uQo0HbOwXdPRGlNyFqGKi,40,0.738,0.707,-5.966,0.808,0.0265,9.85e-06,117.999,Something To Tell You,You Never Knew
154,4IeUAegXVbETb7FpgNDnSM,63,0.643,0.592,-6.684,0.405,0.277,1.54e-06,123.942,Downtown: Life Under The Gun,I Luv This Shit
156,7yJG5oJwYfom8AVXDcgFLx,61,0.606,0.61,-5.279,0.685,0.392,0.0,129.989,Gal Policy,Gal Policy
157,1eN27pPLzE59zuFbY8SsiT,0,0.859,0.538,-5.207,0.333,0.0699,1.14e-06,98.031,Don't Tell 'Em,Don't Tell 'Em
158,294pxweq9pggAO32OQVgYw,58,0.461,0.592,-5.799,0.34,0.138,0.0,124.146,Testimony,I Luv This Shit - Remix (Bonus Track)
165,4JzCFEc3O2UEdjKzevvFH5,75,0.633,0.511,-5.665,0.29,0.0368,0.0,116.855,Proof,For Youth
166,65rmgd5uMb4Rgqb5dSiU0p,62,0.693,0.586,-6.098,0.459,0.0315,0.0,82.039,Celebrate,Doughnut
168,5uqphUYsR45kPYplrYSAQh,65,0.859,0.627,-7.91,0.594,0.13,0.000202,142.062,SremmLife,Throw Sum Mo
171,5IYnriBBJz1iz1ki3bJnWo,0,0.656,0.798,-6.608,0.572,0.103,0.0,92.03,"O!RUL8,2?",Coffee
172,2AIWoHr9DF6y4KALCBKWQS,1,0.734,0.855,-3.211,0.422,0.118,0.0,126.035,Love Yourself 結 'Answer',IDOL
174,0xbiDnsDfJci79RCglEtOG,26,0.768,0.56,-5.015,0.323,0.179,7.69e-06,150.071,Faith,"Top Shotta (feat. Pusha T, TRAVI & Beam)"
176,0k1WUmIRnG3xU6fvvDVfRG,78,0.803,0.597,-6.035,0.331,0.141,4.5e-06,136.008,Certified Lover Boy,Way 2 Sexy (with Future & Young Thug)
178,1i1fxkWeaMmKEB4T7zqbzK,81,0.532,0.869,-5.094,0.422,0.172,0.00508,159.803,Don't Let Me Down,Don't Let Me Down
179,4o1WfX3N1GXDFsPCCDldYb,34,0.715,0.919,-3.514,0.701,0.265,0.0,145.004,We Go Up,We Go Up (feat. Fivio Foreign)
183,2WKJcMeqmjkL4FzFoJszR7,58,0.628,0.649,-10.171,0.476,0.202,0.0,82.907,"Do It (feat. Doja Cat, City Girls & Mulatto) [Remix]","Do It (feat. Doja Cat, City Girls & Mulatto) [Remix]"
184,58q2HKrzhC3ozto2nDdN4z,79,0.816,0.726,-3.998,0.65,0.129,0.0,136.048,Invasion of Privacy,I Like It
185,3HHFOztnhfIWxjOr2s06sw,59,0.758,0.849,-3.602,0.429,0.0575,0.0,111.004,The Dream Chapter: STAR,Blue Orangeade
186,1IthE5GNiRzFN5CVaCa445,71,0.602,0.841,-3.334,0.684,0.109,0.0,157.937,Proof,Born Singer
188,7Bpx2vsWfQFBACRz4h3IqH,77,0.711,0.611,-5.453,0.144,0.329,0.0,134.14,family ties (with Kendrick Lamar),family ties (with Kendrick Lamar)
191,35Dofxo9smHVxmFQbhYIAT,59,0.778,0.776,-5.359,0.361,0.0362,0.0216,127.049,Stereo Love,Stereo Love
193,6m96zMB8BrLrpyT7NvApxB,58,0.614,0.747,-5.655,0.538,0.0743,0.0,78.216,NCT#127 LIMITLESS - The 2nd Mini Album,無限的我 무한적아; LIMITLESS
194,4TsmezEQVSZNNPv5RJ65Ov,81,0.779,0.64,-8.415,0.498,0.159,0.00077,99.019,Music Of The Sun,Pon de Replay
199,2BNuFV7ROaRHu2j3N6k729,0,0.719,0.962,-2.555,0.669,0.265,0.0,117.999,"O!RUL8,2?",Attack on Bangtan
200,5oH4DQAuu1J1800RzUsBWa,5,0.905,0.962,-3.197,0.906,0.0856,0.0,129.969,PSY 9th,That That (prod. & feat. SUGA of BTS)
201,2QyuXBcV1LJ2rq01KhreMF,2,0.583,0.817,-5.146,0.438,0.0987,0.0,105.936,MAP OF THE SOUL : 7,ON
202,5dEaQCUCJIQyJs5qVZYXOC,59,0.647,0.881,-4.42,0.456,0.0765,1.12e-06,100.001,Come Back Home,Come Back Home
203,0Fb1M7rbOnydw6SrXXSlHr,57,0.568,0.66,-6.15,0.423,0.0356,0.0,82.97,Ito,Ito
204,77jkl4GGXj4xQC2bzrvjyc,0,0.581,0.93,-2.95,0.777,0.257,2e-05,90.041,화양연화 The Most Beautiful Moment In Life: Young Forever,Whalien 52
205,0WdR2AyLW1Drd3OUdwezM0,76,0.71,0.614,-6.757,0.658,0.0431,0.0,148.152,Sweetener,everytime
206,1j6NZFHrpc09YmEZuSlmwf,58,0.603,0.741,-5.58,0.403,0.12,0.000227,168.006,Hot Pink,Talk Dirty
207,13MF2TYuyfITClL1R2ei6e,78,0.661,0.836,-3.164,0.396,0.059,0.0,124.952,SQUARE ONE,BOOMBAYAH
211,1s9dHDYdTjQo1Ow8MoF9nV,58,0.647,0.727,-6.675,0.243,0.0464,0.0,99.953,THE WORLD EP.1 : MOVEMENT,The Ring
212,0hxeouHqP3qzpTHerA7ha2,67,0.731,0.845,-5.352,0.484,0.132,0.0,101.085,BE,Dis-ease
213,54DmTIv86D3sYdiawjULQ0,0,0.731,0.845,-5.352,0.484,0.132,0.0,101.085,BE,Dis-ease
214,1bDbXMyjaUIooNwFE9wn0N,91,0.561,0.52,-9.342,0.424,0.244,1.86e-06,153.15,Her Loss,Rich Flex
217,2LHUIYOsCZ19mDp2xRxj1u,55,0.685,0.536,-8.288,0.502,0.0302,0.0,129.083,Didimi Psihi,Parallili Agapi
218,6CDzDgIUqeDY5g8ujExx2f,81,0.761,0.525,-6.9,0.531,0.0944,6.7e-06,80.87,Heat Waves,Heat Waves
219,6ma6Oe9PrzJsckdCebJoFM,53,0.58,0.764,-9.321,0.444,0.221,2.1e-06,137.068,HOMECOMING: THE LIVE ALBUM,Flawless / Feeling Myself - Homecoming Live
222,5J4ZkQpzMUFojo1CtAZYpn,80,0.472,0.714,-4.389,0.24,0.0334,0.0,98.992,My Everything,Love Me Harder
223,1ok4gxOv8cg5WLjWK6TQhD,0,0.856,0.617,-5.308,0.759,0.0841,0.0,136.082,Love Yourself 結 'Answer',Go Go
224,6wyr4ReB05D9sJB1Rsmcqo,1,0.826,0.817,-4.081,0.168,0.0921,1.09e-05,97.053,Chicken Noodle Soup (feat. Becky G),Chicken Noodle Soup (feat. Becky G)
225,3lE8TCA1FKNQthjj73Sjrv,52,0.853,0.588,-8.208,0.831,0.3,0.0,147.055,Like..?,Gangsta Boo (with Lil Tjay)
226,4vTgx6h4seHvkuFh84JXYP,1,0.674,0.64,-5.139,0.664,0.0339,0.0,99.908,MAP OF THE SOUL : 7,My Time
227,0filEDkS4b7ODVhh9N0myb,37,0.486,0.808,-7.543,0.601,0.0812,2.27e-06,89.72,Edo Kai Tora,Edo Kai Tora
229,01gUlvzAPiwB9Ekq9kGVCM,0,0.813,0.875,-2.92,0.756,0.0918,0.0,99.004,Love Yourself 結 'Answer',Anpanman
230,3IG0DSV4U15NtX31Y0czx3,43,0.504,0.711,-5.864,0.5,0.0452,1.83e-05,134.824,Unlock it (Lock It) [feat. Kim Petras and Jay Park],Unlock it (Lock It) - feat. Kim Petras and Jay Park
233,6bc8VmlNt5S9WJlyw8bBdd,58,0.742,0.749,-5.06,0.485,0.0378,0.0,98.013,Take Over The Moon - The 2nd Mini Album,Love Talk
234,4h8DDTLayF06jMWIPJlBb3,50,0.719,0.674,-6.045,0.664,0.272,1.32e-06,142.036,ZERO : FEVER Part.2,I'm The One - HEAT-TOPPING Version
235,1HQHuPpr2s2z3VIBTLtUmv,0,0.582,0.726,-4.174,0.768,0.116,0.0,100.45,2 Cool 4 Skool,Like
236,2NjO87HyT80fsgejd3PLYW,66,0.736,0.756,-7.099,0.712,0.047,0.00577,117.016,Bloom,Dance To This (feat. Ariana Grande)
239,08SB2OtZkaliju77WYEKxk,77,0.707,0.618,-5.825,0.517,0.19,0.0,133.876,Still Over It,No Love (with SZA)
240,0GnydTKmczMoKOEl1D4URI,69,0.693,0.844,-2.481,0.862,0.192,0.0,159.937,IM NAYEON,LOVE COUNTDOWN (Feat. Wonstein)
243,32h6yQGn4oAhZ0HRsTMX26,0,0.622,0.8,-5.819,0.58,0.0425,0.0,110.977,The Dream Chapter: STAR,CROWN
244,5R9k9x85lAYbamdUoKAJvj,59,0.73,0.816,-5.402,0.803,0.304,1.23e-05,142.054,Meet The Woo 2,Dior (with Gunna) - Remix
246,1PNs0uGru3TcrA94kpyGnc,64,0.842,0.505,-8.627,0.538,0.402,0.000322,119.993,Do We Have A Problem?,Do We Have A Problem?
248,0PAuGZOMm0Wq2Jq1KOeoET,46,0.435,0.891,-3.907,0.437,0.178,0.0,115.166,Peace Is The Mission,All My Love - Remix
249,6dDIOU6AqgLkrjFNPgvKY6,62,0.548,0.833,-3.294,0.467,0.0497,0.0,190.029,Bangerz (Deluxe Version),FU (feat. French Montana)
250,6FdShjf7nA2cqEnpv1tIia,55,0.732,0.795,-2.263,0.693,0.1,0.0,100.954,NCT RESONANCE Pt. 1 - The 2nd Album,Make A Wish (Birthday Song)
251,5d2mc1dOSOLw25fJ7WH5fl,52,0.757,0.775,-3.442,0.713,0.121,0.0,140.97,Universe - The 3rd Album,OK!
254,3p6hnejEQYXkiTO1lAzVc0,2,0.637,0.799,-4.519,0.562,0.0338,0.0,104.995,Love Yourself 結 'Answer',Euphoria
256,5cRKj1kynNFqiliT2ndZ3y,67,0.561,0.686,-6.273,0.22,0.0473,0.0,89.97,Akuma no Ko,Akuma no Ko
260,3jVtllWS5CFFWLQng8sKsr,73,0.742,0.595,-7.51,0.431,0.107,0.0,101.013,Aquarius,2 On (feat. ScHoolboy Q)
262,0Me6SI6hgowLrZAKvtyVOg,60,0.876,0.937,-0.593,0.902,0.093,0.0,114.982,The Boys,The Boys
263,0yFvWTLs3iIwDbc91noXGT,52,0.906,0.596,-5.88,0.701,0.243,0.0,144.038,GRoCERIES,GRoCERIES
264,7e65OAe9L0xWPSHDiahjQe,58,0.753,0.893,-2.781,0.386,0.0694,0.0,107.003,Voltage,Voltage
266,7DF8lvLdV3htIbuTWpc7lR,1,0.603,0.771,-6.336,0.332,0.0627,0.0,139.988,Fighting Demons,Girl Of My Dreams (with SUGA of BTS)
267,6IPNp9PfaEqrzotY47TIWy,76,0.8,0.837,-2.807,0.702,0.0491,0.00313,100.015,"SG (with Ozuna, Megan Thee Stallion & LISA of BLACKPINK)","SG (with Ozuna, Megan Thee Stallion & LISA of BLACKPINK)"
268,1aKuG1GG76xPLUkjBbQo3W,0,0.72,0.824,-5.086,0.333,0.128,0.0,165.998,MAP OF THE SOUL : 7,UGH!
269,6mS8cd33jFrighnLc0obxQ,63,0.413,0.878,-4.942,0.694,0.0694,0.000961,151.989,minisode1 : Blue Hour,Ghosting
270,0CnpSTdL9l5vQM4YnzXtyo,68,0.726,0.963,-1.111,0.769,0.0916,0.00157,126.062,One-reeler / Act IV,Panorama
272,2p6Fh5ruk8YUaO43huubHW,75,0.362,0.432,-9.359,0.256,0.112,0.0,81.29,Dark Side,Collide (Sped Up Remix)
274,6y4GYuZszeXNOXuBFsJlos,75,0.584,0.911,-3.515,0.606,0.09,0.0,92.502,Kaikai Kitan / Ao No Waltz,Kaikai Kitan
277,36pZ33EaTBFSl4n0asZYNU,62,0.634,0.869,-4.987,0.375,0.0352,7.07e-06,104.945,ZERO : FEVER EPILOGUE,The Real - Heung Version
280,4v5kAh2wWyCSuKuhMJK8u6,75,0.589,0.655,-8.138,0.675,0.0488,0.000353,105.272,Cassie,Long Way 2 Go
283,3IdPtyJHB1WVPM4eCiCAKM,64,0.565,0.903,-1.918,0.54,0.0499,0.0,97.968,TREASURE EPILOGUE : Action To Answer,Answer
285,1cXeMu9DUAaa6xjkp39hJJ,26,0.527,0.554,-7.613,0.408,0.393,0.000384,140.542,The Pinkprint,Shanghai
287,14k4ALBLN2FjtELYDcQUoi,64,0.807,0.704,-5.496,0.961,0.071,0.0,115.995,Formula of Love: O+T=<3,MOONLIGHT
289,0NTMtAO2BV4tnGvw9EgBVq,83,0.781,0.728,-4.981,0.395,0.0621,1.94e-06,102.99,Bitch Better Have My Money,Bitch Better Have My Money
290,0uZnF1sn2IcNCvnyAIKNMQ,66,0.458,0.347,-6.651,0.431,0.0381,0.0,78.928,Illuminate,Mercy - Acoustic
291,3WfaJhCL4p2JbdffJjV6Va,67,0.699,0.907,-1.208,0.621,0.0544,0.0,115.978,COLOR*IZ,La Vie en Rose
294,0xKNTDmIym4R2TfKnS4FQo,0,0.769,0.817,-4.092,0.866,0.0339,9.95e-05,139.979,Love Yourself 結 'Answer',Airplane pt.2
295,3F5CgOj3wFlRv51JsHbxhe,88,0.529,0.673,-4.711,0.366,0.175,2.41e-06,165.921,"Honestly, Nevermind",Jimmy Cooks (feat. 21 Savage)
297,6iOvnACn4ChlAw4lWUU4dd,65,0.71,0.71,-2.474,0.7,0.0579,1.07e-06,169.944,Amala,Go To Town
298,7HjcrlnxZ7mSZ8zfJC5fPc,0,0.382,0.85,-4.736,0.414,0.423,0.0,185.924,The Dream Chapter: ETERNITY,Eternally
299,1t2fPE8rClkb0ZACu26ebN,58,0.622,0.683,-5.238,0.261,0.0517,0.0,92.018,Free Falling,Free Falling
301,6juLaduD4STCUDWT0AYun4,71,0.66,0.787,-4.592,0.199,0.032,0.0,142.018,MORE,MORE
302,1wiqEFd8phSCSlteDLSyp2,62,0.574,0.882,-4.08,0.612,0.121,0.0,92.994,Proof,Blood Sweat & Tears
303,0rvQzaVeceFaksUoeyonXw,58,0.532,0.867,-5.511,0.329,0.0598,0.0,154.967,THE WORLD EP.1 : MOVEMENT,New World
304,0TcJ7QWpggdSg8t0fHThHm,71,0.894,0.678,-5.611,0.844,0.0523,2.43e-06,105.024,The Fame,LoveGame
306,2R8MZR1RCP4cIJITHDPRbY,63,0.561,0.758,-3.87,0.178,0.0478,3.08e-06,149.944,Favorite - The 3rd Album Repackage,Favorite (Vampire)
307,5L9eGmPwQnhIlJY1qDQ3OJ,58,0.757,0.875,-2.65,0.571,0.126,0.0,122.946,BETWEEN 1&2,Trouble
308,3vySEUpD0tc801F2WZDLYw,72,0.799,0.653,-5.453,0.236,0.037,0.0,104.019,Freaky Deaky,Freaky Deaky
311,12KUFSHFgT0XCoiSlvdQi4,78,0.687,0.702,-5.324,0.284,0.0455,4.35e-05,129.956,My Everything,Break Free
312,7seTcUFOhn5caSDbiSfsp0,70,0.706,0.572,-5.799,0.574,0.0326,0.0,139.982,Non-Fiction,She Knows
314,2Ghp894n1laIf2w98VeAOJ,71,0.805,0.498,-7.927,0.636,0.0737,2.37e-05,121.006,Dawn FM,How Do I Make You Love Me?
316,7snnTlaWaN39nfN1PhUaT8,76,0.956,0.827,1.295,0.614,0.222,0.000259,129.949,Se Voce Nao Quer Passa a Vez,Se Voce Nao Quer Passa a Vez
317,6k2900NjJeVqZM55G3Danu,69,0.896,0.675,-3.908,0.659,0.124,8.11e-06,131.999,Bum Bum Tam Tam,Bum Bum Tam Tam
